ID,Name,Sequence
1,1,001c_HeadLRupFullMed,2,001b_HeadLRDownFullSlow
2,1,002a_HeadLRupHalfSlow,1,002b_HeadLRDownHalfSlow
3,1,007c_HeadLupHalfMed,1,007d_HeadLDownHalfMed
4,1,018a_ShoulderRupFullSlow,3,018b_ShoulderRDownFullSlow
5,1,019a_ShoulderRupHalfSlow,1,019b_ShoulderRDownHalfSlow
6,1,019c_ShoulderRupHalfMed,1,019d_ShoulderRDownHalfMed
7,1,020a_ShoulderLupFullSlow,1,020b_ShoulderLDownFullSlow
8,1,021a_ShoulderLupHalfSlow,3,021b_ShoulderLDownHalfSlow
9,1,023a_ShoulderLRupMedSlow,4,023b_ShoulderLRDownMedSlow
10,1,032c_FootRupLowMed,3,032d_FootRDownLowMed
11,1,033a_FootLupFullSlow,1,033b_FootLDownFullSlow
12,1,033c_FootLupFullMed,3,033d_FootLDownFullMed
13,1,034a_FootLupHalfSlow,2,034b_FootLDownHalfSlow
14,1,034c_FootLupHalfMed,.5,031c_FootRupHalfMed,.5,034d_FootLDownHalfMed,.5,031d_FootRDownHalfMed
15,1,035a_FootLupLowSlow,2,035b_FootLDownLowSlow
16,1,036a_FootLRupFullSlow,4,036b_FootLRDownFullSlow
